cycle,specific_capacity
1,891.867
2,882.675667
3,849.655
4,833.82125
5,913.714
6,822.070417
7,830.750333
8,816.740167
9,797.727361
10,790.452
11,792.176333
12,929.360444
13,934.767167
14,919.086667
15,914.634
16,928.020333
17,931.9585
18,923.798667
19,919.076667
20,928.838333
21,932.234417
22,923.243333
23,917.686667
24,911.547167
25,899.225722
26,904.242361
27,903.941778
28,900.048556
29,902.004333
30,901.725889
31,903.950556
32,902.02125
33,905.977361
34,902.031833
35,901.749444
36,902.279444
37,899.775944
38,899.485
39,900.076889
40,903.189667
41,900.902361
42,895.618444
43,901.511806
44,911.853167
45,907.674861
46,899.004722
47,904.0335
48,901.233333
49,909.0615
50,908.490333
51,911.845667
52,912.966333
53,910.183611
54,900.650444
55,907.090333
56,921.025333
57,911.007361
58,908.481944
59,907.338889
60,920.744333
61,908.516111
62,898.953056
63,897.020167
64,914.634
65,900.979167
66,899.273194
67,895.079889
68,902.094833
69,900.106056
70,899.5525
71,897.623
72,900.142722
73,896.223333
74,899.866833
75,899.553333
76,896.203667
77,897.571722
78,896.767778
79,895.0865
80,899.011444
